IP,frequency,active
204.136.64.0/24,9,"['204.136.64.154', '204.136.64.61', '204.136.64.115', '204.136.64.25', '204.136.64.38', '204.136.64.130', '204.136.64.90', '204.136.64.168', '204.136.64.96']"
204.136.96.0/24,7,"['204.136.96.94', '204.136.96.140', '204.136.96.103', '204.136.96.143', '204.136.96.102']"
165.197.111.0/24,3,"['165.197.111.209', '165.197.111.4', '165.197.111.6']"
165.197.98.0/24,2,"['165.197.98.214', '165.197.98.208']"
204.136.65.0/24,2,"['204.136.65.24', '204.136.65.31']"
198.231.24.0/24,2,"['198.231.24.101', '198.231.24.102']"
198.231.23.0/24,2,"['198.231.23.101', '198.231.23.102']"
18.214.229.0/24,2,['18.214.229.99']
198.231.16.0/24,1,['198.231.16.27']
165.160.15.0/24,1,['165.160.15.20']
165.160.13.0/24,1,['165.160.13.20']
173.255.229.0/24,1,['173.255.229.208']
209.143.252.0/24,1,['209.143.252.48']
63.232.59.0/24,1,['63.232.59.179']
165.197.58.0/24,1,['165.197.58.84']
159.127.187.0/24,1,['159.127.187.64']
35.153.85.0/24,1,['35.153.85.206']
165.197.53.0/24,1,['165.197.53.7']
52.158.213.0/24,1,['52.158.213.227']
13.111.132.0/24,1,['13.111.132.26']
148.253.132.0/24,1,['148.253.132.175']
13.111.18.0/24,1,['13.111.18.27']
157.146.163.0/24,1,['157.146.163.83']
