IP,frequency,active
69.20.59.0/24,63,"['69.20.59.72', '69.20.59.73', '69.20.59.102', '69.20.59.103', '69.20.59.67', '69.20.59.80', '69.20.59.81', '69.20.59.85', '69.20.59.76']"
91.195.22.0/24,10,"['91.195.22.55', '91.195.22.36', '91.195.22.44', '91.195.22.41', '91.195.22.46', '91.195.22.34', '91.195.22.35', '91.195.22.62', '91.195.22.56']"
82.129.4.0/24,6,"['82.129.4.2', '82.129.4.32', '82.129.4.29', '82.129.4.61']"
35.212.19.0/24,4,['35.212.19.146']
45.11.129.0/24,2,"['45.11.129.61', '45.11.129.62']"
38.97.80.0/24,2,['38.97.80.246']
154.43.165.0/24,1,['154.43.165.251']
34.95.122.0/24,1,['34.95.122.166']
37.35.106.0/24,1,['37.35.106.197']
34.120.97.0/24,1,['34.120.97.237']
83.138.136.0/24,1,['83.138.136.101']
208.115.136.0/24,1,['208.115.136.218']
205.251.193.0/24,1,['205.251.193.189']
205.251.198.0/24,1,['205.251.198.164']
205.251.195.0/24,1,['205.251.195.41']
40.76.198.0/24,1,['40.76.198.105']
199.193.156.0/24,1,['199.193.156.16']
91.198.51.0/24,1,['91.198.51.194']
69.38.149.0/24,1,['69.38.149.12']
205.251.196.0/24,1,['205.251.196.110']
52.221.108.0/24,1,['52.221.108.34']
78.47.162.0/24,1,['78.47.162.135']
