DOMAIN,CDN,CNAME,IP
p2p.bmwusa.com,No,Null,['68.115.224.97']
banking.bmwusa.com,No,Null,['68.115.224.27']
stats.bmwusa.com,No,Null,['64.29.223.252']
build.bmwusa.com,No,Null,['64.29.223.86']
test.resource.bmwusa.com,No,['cosy-resource-qa.us-east-1.elasticbeanstalk.com.'],"['52.20.113.25', '52.5.109.136']"
demo3.bmwusa.com,No,['demo1.bmwusa.com.'],['208.39.113.178']
m.bmwusa.com,Yes,"['m.bmwusa.com.edgesuite.net.', 'a1158.q.akamai.net.']","['172.232.7.136', '172.232.7.171']"
inventory.bmwusa.com,No,Null,['18.214.90.70']
mi.bmwusa.com,No,['ink1001.com.'],['52.45.202.101']
jira.bmwusa.com,No,Null,['208.39.96.39']
config.bmwusa.com,No,Null,['64.29.223.173']
mars.bmwusa.com,No,Null,['64.29.204.30']
smtp.bmwusa.com,No,Null,['209.251.179.119']
password.bmwusa.com,No,"['ipaauthcodefunction.azurewebsites.net.', 'hosts.ipaauthcodefunction.azurewebsites.net.']",['23.96.112.53']
bank.bmwusa.com,No,Null,['68.115.224.27']
resource.bmwusa.com,No,['cosy-resource-prod.us-east-1.elasticbeanstalk.com.'],"['23.20.240.182', '34.197.189.226', '34.226.44.27']"
tm.bmwusa.com,No,Null,['64.29.204.50']
demo.ws.bmwusa.com,No,Null,['208.39.113.11']
demo.bmwusa.com,No,Null,['208.39.96.113']
reports.bmwusa.com,No,Null,['64.29.208.230']
test.secure.bmwusa.com,No,Null,['205.167.100.151']
secure.bmwusa.com,No,Null,['68.115.224.170']
images.bmwusa.com,No,Null,['198.174.118.14']
cache.bmwusa.com,Yes,"['cache.bmwusa.com-v1.edgekey.net.', 'e6208.dscx.akamaiedge.net.']",['104.105.91.173']
admin.config.bmwusa.com,No,Null,PRIVATE(10.122.114.8)
mailhub.bmwusa.com,No,Null,['207.16.209.147']
fs.bmwusa.com,No,Null,['160.46.244.54']
test.api.bmwusa.com,No,Null,['208.39.97.182']
origin.m.bmwusa.com,No,Null,['209.251.179.143']
search.bmwusa.com,No,"['bmw.commerce.atomz.com.', 'commerce.atomz.com.']",['192.243.240.8']
blog.bmwusa.com,No,Null,['208.39.96.54']
hub.bmwusa.com,No,Null,['13.72.69.109']
resources.bmwusa.com,No,"['resource.bmwusa.com.', 'cosy-resource-prod.us-east-1.elasticbeanstalk.com.']","['23.20.240.182', '34.197.189.226', '34.226.44.27']"
oc.bmwusa.com,No,Null,['68.115.224.29']
sip.bmwusa.com,No,Null,['170.34.104.133']
content.bmwusa.com,Yes,"['content.bmwusa.com.edgekey.net.', 'e6208.x.akamaiedge.net.']",['104.105.91.173']
design.bmwusa.com,No,Null,['208.39.96.44']
click.email.bmwusa.com,No,Null,['50.57.212.101']
shop.bmwusa.com,No,Null,['18.213.35.175']
www1.bmwusa.com,No,Null,['64.29.204.23']
my.bmwusa.com,No,['prod-mybmw-pub.bmwgroup.com.'],['170.34.104.242']
si.bmwusa.com,No,Null,['207.55.157.42']
dms.bmwusa.com,No,Null,['208.39.96.55']
login.bmwusa.com,No,Null,['170.34.127.219']
dev.m.fs.bmwusa.com,No,Null,['170.34.100.251']
www.m.bmwusa.com,Yes,"['m.bmwusa.com.edgesuite.net.', 'a1158.q.akamai.net.']","['172.232.7.136', '172.232.7.171']"
demo2.bmwusa.com,No,['demo1.bmwusa.com.'],['208.39.113.178']
ftp.bmwusa.com,No,Null,['208.39.96.132']
qa.ws.bmwusa.com,No,Null,['208.39.96.43']
pr.bmwusa.com,No,Null,['64.29.223.89']
assets.bmwusa.com,No,Null,['64.29.204.13']
images2.bmwusa.com,No,Null,['198.174.118.14']
m.fs.bmwusa.com,No,Null,['160.46.244.54']
dev.m.bmwusa.com,No,Null,['208.39.112.56']
demo1.bmwusa.com,No,Null,['208.39.113.178']
metrics.bmwusa.com,No,['bmwfs.122.2o7.net.'],"['18.211.155.46', '3.213.30.101', '3.217.100.252', '3.234.115.12', '3.89.214.96', '52.205.199.154']"
dev.publish.bmwusa.com,No,Null,['170.34.100.242']
www.fs.bmwusa.com,No,Null,['68.115.224.28']
download.bmwusa.com,No,Null,['64.29.223.102']
publish.bmwusa.com,No,Null,['170.34.59.18']
qa.bmwusa.com,No,Null,['64.29.204.37']
atlas.bmwusa.com,No,Null,['68.115.224.141']
www2.bmwusa.com,No,Null,['64.29.223.85']
email.bmwusa.com,No,Null,['206.132.3.45']
admin.bmwusa.com,No,Null,['64.29.204.17']
api.bmwusa.com,No,Null,['209.251.179.150']
www.bmwusa.com,Yes,"['www.bmwusa.com-v1.edgekey.net.', 'e6208.dscx.akamaiedge.net.']",['104.105.91.173']
dev.api.bmwusa.com,No,Null,['208.39.113.11']
apps.bmwusa.com,Yes,"['apps.bmwusa.com.edgekey.net.', 'e6208.x.akamaiedge.net.']",['104.105.91.173']
news.bmwusa.com,No,['bmwna.rsc01.net.'],['66.35.193.26']
dev.fs.bmwusa.com,No,Null,['170.34.100.238']
email.fs.bmwusa.com,No,Null,['50.57.212.101']
ws.bmwusa.com,No,Null,['209.251.179.139']
