IP,frequency,active
208.39.96.0/24,7,"['208.39.96.39', '208.39.96.113', '208.39.96.54', '208.39.96.44', '208.39.96.55', '208.39.96.132', '208.39.96.43']"
68.115.224.0/24,7,"['68.115.224.97', '68.115.224.27', '68.115.224.170', '68.115.224.29', '68.115.224.28', '68.115.224.141']"
64.29.223.0/24,6,"['64.29.223.252', '64.29.223.86', '64.29.223.173', '64.29.223.89', '64.29.223.102', '64.29.223.85']"
64.29.204.0/24,6,"['64.29.204.30', '64.29.204.50', '64.29.204.23', '64.29.204.13', '64.29.204.37', '64.29.204.17']"
209.251.179.0/24,4,"['209.251.179.119', '209.251.179.143', '209.251.179.150', '209.251.179.139']"
208.39.113.0/24,3,"['208.39.113.11', '208.39.113.178']"
170.34.100.0/24,3,"['170.34.100.251', '170.34.100.242', '170.34.100.238']"
160.46.244.0/24,2,['160.46.244.54']
50.57.212.0/24,2,['50.57.212.101']
198.174.118.0/24,2,['198.174.118.14']
207.16.209.0/24,1,['207.16.209.147']
208.39.112.0/24,1,['208.39.112.56']
170.34.127.0/24,1,['170.34.127.219']
18.213.35.0/24,1,['18.213.35.175']
170.34.59.0/24,1,['170.34.59.18']
18.214.90.0/24,1,['18.214.90.70']
170.34.104.0/24,1,['170.34.104.133']
206.132.3.0/24,1,['206.132.3.45']
64.29.208.0/24,1,['64.29.208.230']
207.55.157.0/24,1,['207.55.157.42']
13.72.69.0/24,1,['13.72.69.109']
208.39.97.0/24,1,['208.39.97.182']
205.167.100.0/24,1,['205.167.100.151']
