DOMAIN,CDN,CNAME,IP
dam.ibm.com,Yes,"['dam.ibm.net.', 'rr-ibm.getbynder.com.', 'd2t5zqpiwud1f2.cloudfront.net.']","['99.84.251.33', '99.84.251.66', '99.84.251.9', '99.84.251.99']"
ecc.ibm.com,No,"['ecc.ibm.net.', 'redirect.www.ibm.com.']",['129.42.38.1']
test.cms.ibm.com,No,['test-aq.cms.ibm.net.'],['52.72.28.252']
dev.time.ibm.com,No,['custom-domain.eu-de.cf.cloud.ibm.com.'],"['158.177.81.250', '169.50.46.74']"
mdm.ibm.com,No,Null,['129.34.8.145']
msp.ibm.com,No,Null,"['203.176.107.148', '203.176.107.149']"
support.ibm.com,No,['redirect.www.ibm.com.'],['129.42.38.1']
stage.careers.ibm.com,Yes,"['ibm-cmstage.smashfly.com.', 'd35husiea2r8sj.cloudfront.net.']","['13.249.87.114', '13.249.87.21', '13.249.87.32', '13.249.87.40']"
api.ibm.com,Yes,['api.ibm.com.cs186.net.'],['161.202.85.214']
digital.ibm.com,No,['mail.webreply.com.'],['66.35.62.212']
cas.ibm.com,No,['redirect.www.ibm.com.'],['129.42.38.1']
pc.ibm.com,No,Null,['129.42.38.1']
ftp.mail.ibm.com,No,Null,PRIVATE(172.16.0.1)
analytics.time.ibm.com,No,Null,"['104.22.44.174', '104.22.45.174']"
st.ibm.com,No,Null,['170.225.31.228']
developer.ibm.com,Yes,"['developer.ibm.net.', 'developer.ibm.com.edgekey.net.', 'e2874.x.akamaiedge.net.']",['104.105.84.66']
mobile.ibm.com,No,Null,['32.97.17.169']
webmail.mdm.ibm.com,No,Null,['129.34.8.145']
zeus.research.ibm.com,No,Null,['129.34.32.39']
www.cas.ibm.com,No,['redirect.www.ibm.com.'],['129.42.38.1']
email.ibm.com,No,Null,['129.42.38.10']
shop.ibm.com,No,Null,['129.42.38.1']
git.time.ibm.com,No,Null,"['104.22.44.174', '104.22.45.174']"
ftp.mdm.ibm.com,No,Null,['129.34.8.145']
community.ibm.com,Yes,"['community.ibm.net.', '1729-ccdn-dual.ibmcom.edgekey.net.', '1729-ccdn-dual.ibmcom.edgekey.net.globalredir.akadns.net.', 'e1729.dscx.akamaiedge.net.']",['104.64.214.74']
links.engage.ibm.com,No,['recp.mkt32.net.'],['74.121.50.4']
www.engage.ibm.com,No,['ibm.com.'],['129.42.38.10']
www.ibm.com,Yes,"['www.ibm.com.cs186.net.', 'outer-ccdn-dual.ibmcom.edgekey.net.', 'outer-ccdn-dual.ibmcom.edgekey.net.globalredir.akadns.net.', 'e2874.dscx.akamaiedge.net.']",['104.105.84.66']
sip.ibm.com,No,Null,"['129.42.175.106', '207.25.251.133', '207.25.251.166', '207.25.251.167', '207.25.251.168']"
food.ibm.com,No,Null,"['104.16.224.231', '104.16.225.231']"
webmail.mail.ibm.com,No,Null,PRIVATE(172.16.0.1)
aap.ibm.com,No,Null,['129.42.175.106']
sos.ibm.com,No,Null,['169.55.231.196']
gw.ibm.com,No,Null,['129.33.199.236']
qp.research.ibm.com,No,['qpweb.watson.ibm.com.'],['129.34.20.33']
m.ibm.com,No,['redirect.www.ibm.com.'],['129.42.38.1']
stage.cms.ibm.com,No,['stage-aq.cms.ibm.net.'],['52.72.28.252']
wireless.ibm.com,No,['redirect.www.ibm.com.'],['129.42.38.1']
www.research.ibm.com,No,['researchweb.draco.res.ibm.com.'],['52.116.220.135']
www.mail.ibm.com,No,Null,PRIVATE(172.16.0.1)
global.food.ibm.com,No,Null,"['104.16.224.231', '104.16.225.231']"
inventory.ibm.com,No,Null,['129.42.38.10']
ftp.www.ibm.com,No,"['ftp.boulder.ibm.com.', 'service.boulder.ibm.com.']",['170.225.15.26']
