IP,frequency,active
72.237.4.0/24,23,"['72.237.4.90', '72.237.4.102', '72.237.4.113', '72.237.4.242', '72.237.4.24', '72.237.4.20', '72.237.4.8', '72.237.4.100', '72.237.4.121', '72.237.4.58', '72.237.4.119', '72.237.4.243', '72.237.4.106', '72.237.4.192', '72.237.4.103', '72.237.4.252', '72.237.4.216', '72.237.4.96']"
4.26.24.0/24,6,['4.26.24.234']
34.192.46.0/24,1,['34.192.46.25']
52.45.67.0/24,1,['52.45.67.209']
3.223.61.0/24,1,['3.223.61.189']
52.45.51.0/24,1,['52.45.51.21']
54.172.220.0/24,1,['54.172.220.92']
54.173.185.0/24,1,['54.173.185.5']
52.86.81.0/24,1,['52.86.81.166']
69.196.251.0/24,1,['69.196.251.99']
